z , j_6 , j_100 , j_200 , j_500 , j_1000 , 
0 , 0 , 0 , 0 , 0 , 0 , 
0.20004 , 1.24921e-09 , 8.21667e-178 , 0 , 0 , 0 , 
0.40008 , 2.76827e-08 , -3.37354e-177 , 0 , 0 , 0 , 
0.60012 , 3.32118e-07 , 9.60129e-177 , 0 , 0 , 0 , 
0.80016 , 1.89282e-06 , -1.64601e-176 , 0 , 0 , 0 , 
1.0002 , 7.16572e-06 , -5.45815e-177 , 0 , 0 , 0 , 
1.20024 , 2.10705e-05 , 1.48439e-175 , 0 , 0 , 0 , 
1.40028 , 5.2206e-05 , -6.39284e-175 , 0 , 0 , 0 , 
1.60032 , 0.000114038 , 1.76939e-174 , 0 , 0 , 0 , 
1.80036 , 0.000226012 , -2.79426e-174 , 0 , 0 , 0 , 
2.0004 , 0.000414514 , -2.04092e-174 , 0 , 0 , 0 , 
2.20044 , 0.000713667 , 3.00531e-173 , 0 , 0 , 0 , 
2.40048 , 0.00116578 , -1.2252e-172 , 0 , 0 , 0 , 
2.60052 , 0.00182115 , 3.2501e-172 , 0 , 0 , 0 , 
2.80056 , 0.00273745 , -4.65758e-172 , 0 , 0 , 0 , 
3.0006 , 0.00397866 , -5.71968e-172 , 0 , 0 , 0 , 
3.20064 , 0.00561336 , 6.0347e-171 , 0 , 0 , 0 , 
3.40068 , 0.00771251 , -2.3386e-170 , 0 , 0 , 0 , 
3.60072 , 0.0103465 , 5.93755e-170 , 0 , 0 , 0 , 
3.80076 , 0.0135822 , -7.5811e-170 , 0 , 0 , 0 , 
4.0008 , 0.0174791 , -1.42378e-169 , 0 , 0 , 0 , 
4.20084 , 0.0220864 , 1.20305e-168 , 0 , 0 , 0 , 
4.40088 , 0.0274379 , -4.44597e-168 , 0 , 0 , 0 , 
4.60092 , 0.0335496 , 1.07833e-167 , 0 , 0 , 0 , 
4.80096 , 0.0404158 , -1.19512e-167 , 0 , 0 , 0 , 
5.001 , 0.0480066 , -3.32009e-167 , 0 , 0 , 0 , 
5.20104 , 0.0562653 , 2.38296e-166 , 0 , 0 , 0 , 
5.40108 , 0.0651067 , -8.41858e-166 , 0 , 0 , 0 , 
5.60112 , 0.0744176 , 1.94575e-165 , 0 , 0 , 0 , 
5.80116 , 0.0840563 , -1.79956e-165 , 0 , 0 , 0 , 
6.0012 , 0.093855 , -7.42643e-165 , 0 , 0 , 0 , 
6.20124 , 0.103622 , 4.69268e-164 , 0 , 0 , 0 , 
6.40128 , 0.113145 , -1.58767e-163 , 0 , 0 , 0 , 
6.60132 , 0.122197 , 3.48575e-163 , 0 , 0 , 0 , 
6.80136 , 0.130543 , -2.52046e-163 , 0 , 0 , 0 , 
7.0014 , 0.137943 , -1.61366e-162 , 0 , 0 , 0 , 
7.20144 , 0.144161 , 9.19194e-162 , 0 , 0 , 0 , 
7.40148 , 0.148976 , -2.98196e-161 , 0 , 0 , 0 , 
7.60152 , 0.152184 , 6.19433e-161 , 0 , 0 , 0 , 
7.80156 , 0.153609 , -3.08774e-161 , 0 , 0 , 0 , 
8.0016 , 0.153106 , -3.43168e-160 , 0 , 0 , 0 , 
8.20164 , 0.150575 , 1.7916e-159 , 0 , 0 , 0 , 
8.40168 , 0.145959 , -5.5772e-159 , 0 , 0 , 0 , 
8.60172 , 0.139251 , 1.09064e-158 , 0 , 0 , 0 , 
8.80176 , 0.1305 , -2.67323e-159 , 0 , 0 , 0 , 
9.0018 , 0.119804 , -7.17739e-158 , 0 , 0 , 0 , 
9.20184 , 0.10732 , 3.47578e-157 , 0 , 0 , 0 , 
9.40188 , 0.0932546 , -1.03858e-156 , 0 , 0 , 0 , 
9.60192 , 0.077863 , 1.89985e-156 , 0 , 0 , 0 , 
9.80196 , 0.0614429 , 8.60462e-158 , 0 , 0 , 0 , 
10.002 , 0.0443278 , -1.48121e-155 , 0 , 0 , 0 , 
10.202 , 0.026879 , 6.71339e-155 , 0 , 0 , 0 , 
10.4021 , 0.00947516 , -1.92524e-154 , 0 , 0 , 0 , 
10.6021 , -0.00749742 , 3.26775e-154 , 0 , 0 , 0 , 
10.8022 , -0.0236559 , 1.25911e-154 , 0 , 0 , 0 , 
11.0022 , -0.0386317 , -3.02318e-153 , 0 , 0 , 0 , 
11.2022 , -0.052082 , 1.29118e-152 , 0 , 0 , 0 , 
11.4023 , -0.0637004 , -3.55175e-152 , 0 , 0 , 0 , 
11.6023 , -0.0732256 , 5.53488e-152 , 0 , 0 , 0 , 
11.8024 , -0.0804501 , 4.40681e-152 , 0 , 0 , 0 , 
12.0024 , -0.085227 , -6.11295e-151 , 0 , 0 , 0 , 
12.2024 , -0.0874762 , 2.47308e-150 , 0 , 0 , 0 , 
12.4025 , -0.0871865 , -6.51899e-150 , 0 , 0 , 0 , 
12.6025 , -0.0844164 , 9.1972e-150 , 0 , 0 , 0 , 
12.8026 , -0.079293 , 1.20677e-149 , 0 , 0 , 0 , 
