 ell ,  cell_SW ,  cell_ISW ,  cell_DOP , cell_POL , 
2 , 499.006 , 330.435 , 5.48951 , 379.584 , 
3 , 488.767 , 239.97 , 9.77549 , 372.742 , 
4 , 480.22 , 183.971 , 14.8076 , 367.35 , 
5 , 472.446 , 146.321 , 20.4541 , 362.685 , 
6 , 464.903 , 119.475 , 26.6091 , 358.309 , 
7 , 457.426 , 99.4879 , 33.1872 , 354.079 , 
8 , 449.938 , 84.1179 , 40.1174 , 349.917 , 
9 , 442.153 , 72.0155 , 47.338 , 345.592 , 
10 , 434.791 , 62.2949 , 54.8004 , 341.637 , 
11 , 427.063 , 54.3348 , 62.4551 , 337.44 , 
12 , 419.356 , 47.9378 , 70.2634 , 333.282 , 
13 , 411.223 , 42.5308 , 78.1876 , 328.816 , 
14 , 403.334 , 38.1328 , 86.1992 , 324.537 , 
15 , 395.74 , 34.6497 , 94.2688 , 320.475 , 
16 , 387.413 , 31.6378 , 102.363 , 315.842 , 
17 , 378.814 , 29.1288 , 110.464 , 310.978 , 
18 , 370.639 , 27.2459 , 118.556 , 306.404 , 
19 , 363.116 , 25.9921 , 126.623 , 302.286 , 
20 , 355.884 , 25.2235 , 134.642 , 298.342 , 
21 , 348.221 , 24.7093 , 142.589 , 294.016 , 
22 , 340.253 , 24.4326 , 150.452 , 289.396 , 
23 , 332.283 , 24.4281 , 158.223 , 284.706 , 
24 , 324.469 , 24.7071 , 165.892 , 280.062 , 
25 , 316.797 , 25.2531 , 173.446 , 275.445 , 
26 , 309.146 , 26.0319 , 180.874 , 270.758 , 
27 , 301.602 , 27.0408 , 188.166 , 266.06 , 
28 , 294.255 , 28.2769 , 195.318 , 261.414 , 
29 , 287.1 , 29.7233 , 202.32 , 256.811 , 
30 , 280.022 , 31.3471 , 209.163 , 252.159 , 
31 , 272.868 , 33.1097 , 215.838 , 247.334 , 
32 , 265.717 , 35.0069 , 222.34 , 242.394 , 
33 , 258.703 , 37.0423 , 228.671 , 237.435 , 
34 , 251.934 , 39.2174 , 234.83 , 232.537 , 
35 , 245.495 , 41.5313 , 240.816 , 227.76 , 
36 , 239.436 , 43.98 , 246.629 , 223.138 , 
37 , 233.773 , 46.5565 , 252.266 , 218.679 , 
38 , 228.484 , 49.2504 , 257.724 , 214.363 , 
39 , 223.504 , 52.0477 , 262.997 , 210.137 , 
40 , 218.719 , 54.9305 , 268.079 , 205.908 , 
41 , 214.011 , 57.8804 , 272.964 , 201.584 , 
42 , 209.398 , 60.8913 , 277.651 , 197.176 , 
43 , 204.934 , 63.9598 , 282.145 , 192.721 , 
44 , 200.667 , 67.0826 , 286.446 , 188.255 , 
45 , 196.636 , 70.2562 , 290.557 , 183.803 , 
46 , 192.871 , 73.4768 , 294.481 , 179.387 , 
47 , 189.392 , 76.7403 , 298.218 , 175.02 , 
48 , 186.211 , 80.0426 , 301.77 , 170.708 , 
