 ell ,  cell_TT , 
2 , 997.734 , 
3 , 967.409 , 
4 , 934.817 , 
5 , 911.526 , 
6 , 896.602 , 
7 , 888.112 , 
8 , 884.465 , 
9 , 883.98 , 
10 , 887.364 , 
11 , 892.395 , 
12 , 899.359 , 
13 , 907.1 , 
14 , 916.609 , 
15 , 927.777 , 
16 , 938.509 , 
17 , 949.474 , 
18 , 961.808 , 
19 , 975.82 , 
20 , 990.773 , 
21 , 1005.3 , 
22 , 1019.54 , 
23 , 1033.97 , 
24 , 1048.82 , 
25 , 1064 , 
26 , 1079.26 , 
27 , 1094.72 , 
28 , 1110.48 , 
29 , 1126.51 , 
30 , 1142.57 , 
31 , 1158.37 , 
32 , 1174.02 , 
33 , 1189.73 , 
34 , 1205.65 , 
35 , 1221.93 , 
36 , 1238.63 , 
37 , 1255.76 , 
38 , 1273.28 , 
39 , 1291.04 , 
40 , 1308.84 , 
41 , 1326.47 , 
42 , 1343.95 , 
43 , 1361.36 , 
44 , 1378.78 , 
45 , 1396.28 , 
46 , 1413.89 , 
47 , 1431.66 , 
48 , 1449.59 , 
49 , 1467.68 , 
50 , 1485.9 , 
51 , 1504.22 , 
52 , 1522.68 , 
53 , 1541.3 , 
54 , 1560.13 , 
55 , 1579.18 , 
56 , 1598.48 , 
57 , 1618.03 , 
58 , 1637.81 , 
59 , 1657.82 , 
60 , 1678.01 , 
61 , 1698.35 , 
62 , 1718.85 , 
63 , 1739.56 , 
64 , 1760.48 , 
65 , 1781.64 , 
66 , 1803.05 , 
67 , 1824.72 , 
68 , 1846.66 , 
69 , 1868.86 , 
70 , 1891.31 , 
71 , 1914.01 , 
72 , 1936.97 , 
73 , 1960.21 , 
74 , 1983.73 , 
75 , 2007.54 , 
76 , 2031.66 , 
77 , 2056.08 , 
78 , 2080.8 , 
79 , 2105.82 , 
80 , 2131.12 , 
81 , 2156.7 , 
82 , 2182.57 , 
83 , 2208.72 , 
84 , 2235.18 , 
85 , 2261.94 , 
86 , 2289.01 , 
87 , 2316.39 , 
88 , 2344.07 , 
89 , 2372.05 , 
90 , 2400.33 , 
91 , 2428.9 , 
92 , 2457.75 , 
93 , 2486.89 , 
94 , 2516.32 , 
95 , 2546.04 , 
96 , 2576.04 , 
97 , 2606.32 , 
98 , 2636.86 , 
99 , 2667.66 , 
100 , 2698.71 , 
101 , 2729.99 , 
102 , 2761.5 , 
103 , 2793.25 , 
104 , 2825.24 , 
105 , 2857.46 , 
106 , 2889.91 , 
107 , 2922.6 , 
108 , 2955.51 , 
109 , 2988.65 , 
110 , 3022 , 
111 , 3055.56 , 
112 , 3089.32 , 
113 , 3123.27 , 
114 , 3157.41 , 
115 , 3191.71 , 
116 , 3226.17 , 
117 , 3260.76 , 
118 , 3295.48 , 
119 , 3330.31 , 
120 , 3365.22 , 
121 , 3400.2 , 
122 , 3435.24 , 
123 , 3470.33 , 
124 , 3505.46 , 
125 , 3540.64 , 
126 , 3575.84 , 
127 , 3611.07 , 
128 , 3646.31 , 
129 , 3681.55 , 
130 , 3716.79 , 
131 , 3752 , 
132 , 3787.19 , 
133 , 3822.33 , 
134 , 3857.42 , 
135 , 3892.43 , 
136 , 3927.36 , 
137 , 3962.19 , 
138 , 3996.9 , 
139 , 4031.48 , 
140 , 4065.91 , 
141 , 4100.16 , 
142 , 4134.24 , 
143 , 4168.13 , 
144 , 4201.81 , 
145 , 4235.28 , 
146 , 4268.54 , 
147 , 4301.55 , 
148 , 4334.32 , 
149 , 4366.84 , 
150 , 4399.08 , 
151 , 4431.04 , 
152 , 4462.7 , 
153 , 4494.06 , 
154 , 4525.09 , 
155 , 4555.78 , 
156 , 4586.12 , 
157 , 4616.09 , 
158 , 4645.68 , 
159 , 4674.87 , 
160 , 4703.64 , 
161 , 4731.98 , 
162 , 4759.88 , 
163 , 4787.33 , 
164 , 4814.32 , 
165 , 4840.84 , 
166 , 4866.87 , 
167 , 4892.42 , 
168 , 4917.46 , 
169 , 4941.99 , 
170 , 4966 , 
171 , 4989.48 , 
172 , 5012.42 , 
