 k  ,   T2_6 ,   T2_100 ,   T2_200 ,   T2_500 ,   T2_1000 , 
0.712666 , 1.78023e-13 , 0 , 0 , 0 , 0 , 
1.14024 , 2.95955e-11 , 0 , 0 , 0 , 0 , 
1.56781 , 9.11333e-10 , 0 , 0 , 0 , 0 , 
1.99538 , 1.16466e-08 , 0 , 0 , 0 , 0 , 
2.42295 , 8.65146e-08 , 0 , 0 , 0 , 0 , 
2.85052 , 4.41634e-07 , 0 , 0 , 0 , 0 , 
3.27809 , 1.70754e-06 , 0 , 0 , 0 , 0 , 
3.70567 , 5.31237e-06 , 0 , 0 , 0 , 0 , 
4.13324 , 1.3842e-05 , 0 , 0 , 0 , 0 , 
4.56081 , 3.10517e-05 , 0 , 0 , 0 , 0 , 
4.98838 , 6.11377e-05 , 0 , 0 , 0 , 0 , 
5.41595 , 0.000107103 , 0 , 0 , 0 , 0 , 
5.84352 , 0.000168496 , 0 , 0 , 0 , 0 , 
6.27109 , 0.000239461 , 0 , 0 , 0 , 0 , 
6.69866 , 0.000308259 , 0 , 0 , 0 , 0 , 
7.12624 , 0.000359277 , 0 , 0 , 0 , 0 , 
7.55381 , 0.000377489 , 1.72923e-322 , 0 , 0 , 0 , 
7.98138 , 0.000354105 , 9.97024e-321 , 0 , 0 , 0 , 
8.40895 , 0.000291133 , 6.97176e-320 , 0 , 0 , 0 , 
8.83652 , 0.000202497 , 7.72266e-317 , 0 , 0 , 0 , 
9.26409 , 0.000110525 , 1.1338e-314 , 0 , 0 , 0 , 
9.69166 , 3.86483e-05 , 5.89136e-315 , 0 , 0 , 0 , 
10.1192 , 2.98068e-06 , 4.66383e-311 , 0 , 0 , 0 , 
10.5468 , 6.43031e-06 , 2.91841e-309 , 0 , 0 , 0 , 
10.9744 , 3.79997e-05 , 2.84021e-308 , 0 , 0 , 0 , 
11.4019 , 7.78156e-05 , 2.7602e-305 , 0 , 0 , 0 , 
11.8295 , 0.000105692 , 3.18002e-303 , 0 , 0 , 0 , 
12.2571 , 0.000109423 , 6.19466e-303 , 0 , 0 , 0 , 
12.6847 , 8.89615e-05 , 1.23279e-299 , 0 , 0 , 0 , 
13.1122 , 5.49582e-05 , 9.10356e-298 , 0 , 0 , 0 , 
13.5398 , 2.24377e-05 , 7.30867e-297 , 0 , 0 , 0 , 
13.9674 , 3.26536e-06 , 9.44783e-294 , 0 , 0 , 0 , 
14.3949 , 9.17353e-07 , 8.07936e-292 , 0 , 0 , 0 , 
14.8225 , 1.01136e-05 , 2.92985e-291 , 0 , 0 , 0 , 
15.2501 , 2.09266e-05 , 3.27037e-288 , 0 , 0 , 0 , 
15.6777 , 2.4855e-05 , 2.98506e-286 , 0 , 0 , 0 , 
16.1052 , 1.93761e-05 , 1.10417e-285 , 0 , 0 , 0 , 
16.5328 , 8.75056e-06 , 3.08157e-282 , 0 , 0 , 0 , 
16.9604 , 8.18299e-07 , 1.88134e-280 , 0 , 0 , 0 , 
17.3879 , 2.04039e-06 , 9.26181e-280 , 0 , 0 , 0 , 
17.8155 , 1.35869e-05 , 9.06551e-277 , 0 , 0 , 0 , 
