 x ,  T0 ,  T1 ,  T2 ,  Phi ,  Psi ,  Pi , 
-17.5 , 0.333333 , -1.29308e-06 , -7.0073e-19 , 0.666667 , -0.666667 , -7.0073e-19 , 
-17.4965 , 0.335655 , -1.29754e-06 , -7.08153e-19 , 0.664345 , -0.652902 , -7.08153e-19 , 
-17.493 , 0.337975 , -1.30198e-06 , -7.15586e-19 , 0.662025 , -0.640161 , -7.15586e-19 , 
-17.4895 , 0.34029 , -1.3064e-06 , -7.23042e-19 , 0.65971 , -0.629469 , -7.23042e-19 , 
-17.486 , 0.3426 , -1.31078e-06 , -7.3053e-19 , 0.6574 , -0.621849 , -7.3053e-19 , 
-17.4825 , 0.344901 , -1.31512e-06 , -7.38061e-19 , 0.655099 , -0.618327 , -7.38061e-19 , 
-17.479 , 0.347192 , -1.31939e-06 , -7.45645e-19 , 0.652808 , -0.619477 , -7.45645e-19 , 
-17.4755 , 0.349474 , -1.32361e-06 , -7.53279e-19 , 0.650526 , -0.624059 , -7.53279e-19 , 
-17.472 , 0.351747 , -1.32777e-06 , -7.60962e-19 , 0.648253 , -0.63037 , -7.60962e-19 , 
-17.4685 , 0.354011 , -1.33188e-06 , -7.6869e-19 , 0.645989 , -0.636709 , -7.6869e-19 , 
-17.465 , 0.356268 , -1.33594e-06 , -7.7646e-19 , 0.643732 , -0.641377 , -7.7646e-19 , 
-17.4615 , 0.358517 , -1.33996e-06 , -7.84271e-19 , 0.641483 , -0.643082 , -7.84271e-19 , 
-17.458 , 0.360758 , -1.34393e-06 , -7.92121e-19 , 0.639242 , -0.642224 , -7.92121e-19 , 
-17.4545 , 0.362992 , -1.34785e-06 , -8.00012e-19 , 0.637008 , -0.639633 , -8.00012e-19 , 
-17.451 , 0.365219 , -1.35172e-06 , -8.07944e-19 , 0.634781 , -0.636141 , -8.07944e-19 , 
-17.4475 , 0.367437 , -1.35554e-06 , -8.15918e-19 , 0.632563 , -0.632576 , -8.15918e-19 , 
-17.444 , 0.369648 , -1.35931e-06 , -8.23935e-19 , 0.630352 , -0.629606 , -8.23935e-19 , 
-17.4405 , 0.371851 , -1.36303e-06 , -8.31994e-19 , 0.628149 , -0.627215 , -8.31994e-19 , 
-17.437 , 0.374046 , -1.3667e-06 , -8.40095e-19 , 0.625954 , -0.625209 , -8.40095e-19 , 
-17.4335 , 0.376233 , -1.37032e-06 , -8.48237e-19 , 0.623767 , -0.623396 , -8.48237e-19 , 
-17.43 , 0.378413 , -1.37388e-06 , -8.56421e-19 , 0.621587 , -0.621582 , -8.56421e-19 , 
-17.4265 , 0.380585 , -1.3774e-06 , -8.64646e-19 , 0.619415 , -0.619614 , -8.64646e-19 , 
-17.423 , 0.38275 , -1.38086e-06 , -8.72911e-19 , 0.61725 , -0.617501 , -8.72911e-19 , 
-17.4195 , 0.384907 , -1.38428e-06 , -8.81217e-19 , 0.615093 , -0.615293 , -8.81217e-19 , 
-17.416 , 0.387056 , -1.38764e-06 , -8.89564e-19 , 0.612944 , -0.613044 , -8.89564e-19 , 
-17.4125 , 0.389198 , -1.39095e-06 , -8.97951e-19 , 0.610802 , -0.610803 , -8.97951e-19 , 
-17.409 , 0.391333 , -1.39421e-06 , -9.06378e-19 , 0.608667 , -0.608614 , -9.06378e-19 , 
-17.4055 , 0.39346 , -1.39742e-06 , -9.14846e-19 , 0.60654 , -0.606473 , -9.14846e-19 , 
-17.402 , 0.395579 , -1.40057e-06 , -9.23353e-19 , 0.604421 , -0.604367 , -9.23353e-19 , 
-17.3985 , 0.397691 , -1.40367e-06 , -9.319e-19 , 0.602309 , -0.602282 , -9.319e-19 , 
-17.395 , 0.399796 , -1.40672e-06 , -9.40486e-19 , 0.600204 , -0.600203 , -9.40486e-19 , 
-17.3915 , 0.401894 , -1.40972e-06 , -9.49111e-19 , 0.598106 , -0.598121 , -9.49111e-19 , 
-17.388 , 0.403984 , -1.41266e-06 , -9.57776e-19 , 0.596016 , -0.596034 , -9.57776e-19 , 
-17.3845 , 0.406067 , -1.41555e-06 , -9.66478e-19 , 0.593933 , -0.593948 , -9.66478e-19 , 
-17.381 , 0.408142 , -1.41839e-06 , -9.75219e-19 , 0.591858 , -0.591865 , -9.75219e-19 , 
-17.3775 , 0.410211 , -1.42117e-06 , -9.83998e-19 , 0.589789 , -0.58979 , -9.83998e-19 , 
-17.374 , 0.412272 , -1.4239e-06 , -9.92815e-19 , 0.587728 , -0.587725 , -9.92815e-19 , 
-17.3705 , 0.414325 , -1.42658e-06 , -1.00167e-18 , 0.585675 , -0.58567 , -1.00167e-18 , 
-17.367 , 0.416372 , -1.4292e-06 , -1.01056e-18 , 0.583628 , -0.583624 , -1.01056e-18 , 
-17.3635 , 0.418412 , -1.43177e-06 , -1.01949e-18 , 0.581588 , -0.581586 , -1.01949e-18 , 
-17.36 , 0.420444 , -1.43428e-06 , -1.02845e-18 , 0.579556 , -0.579556 , -1.02845e-18 , 
-17.3565 , 0.422469 , -1.43674e-06 , -1.03745e-18 , 0.577531 , -0.577532 , -1.03745e-18 , 
-17.353 , 0.424488 , -1.43914e-06 , -1.04649e-18 , 0.575512 , -0.575514 , -1.04649e-18 , 
-17.3495 , 0.426499 , -1.44149e-06 , -1.05556e-18 , 0.573501 , -0.573502 , -1.05556e-18 , 
-17.346 , 0.428503 , -1.44378e-06 , -1.06467e-18 , 0.571497 , -0.571498 , -1.06467e-18 , 
-17.3425 , 0.4305 , -1.44602e-06 , -1.07381e-18 , 0.5695 , -0.5695 , -1.07381e-18 , 
-17.339 , 0.43249 , -1.4482e-06 , -1.08299e-18 , 0.56751 , -0.567509 , -1.08299e-18 , 
-17.3355 , 0.434473 , -1.45033e-06 , -1.0922e-18 , 0.565527 , -0.565526 , -1.0922e-18 , 
-17.332 , 0.43645 , -1.4524e-06 , -1.10144e-18 , 0.56355 , -0.56355 , -1.10144e-18 , 
-17.3285 , 0.438419 , -1.45441e-06 , -1.11072e-18 , 0.561581 , -0.561581 , -1.11072e-18 , 
-17.325 , 0.440382 , -1.45637e-06 , -1.12003e-18 , 0.559618 , -0.559618 , -1.12003e-18 , 
-17.3215 , 0.442337 , -1.45827e-06 , -1.12937e-18 , 0.557663 , -0.557663 , -1.12937e-18 , 
-17.318 , 0.444286 , -1.46011e-06 , -1.13874e-18 , 0.555714 , -0.555714 , -1.13874e-18 , 
-17.3145 , 0.446228 , -1.4619e-06 , -1.14815e-18 , 0.553772 , -0.553772 , -1.14815e-18 , 
-17.311 , 0.448163 , -1.46363e-06 , -1.15758e-18 , 0.551837 , -0.551837 , -1.15758e-18 , 
-17.3075 , 0.450092 , -1.4653e-06 , -1.16705e-18 , 0.549908 , -0.549908 , -1.16705e-18 , 
-17.304 , 0.452013 , -1.46692e-06 , -1.17654e-18 , 0.547987 , -0.547987 , -1.17654e-18 , 
-17.3005 , 0.453928 , -1.46847e-06 , -1.18606e-18 , 0.546072 , -0.546072 , -1.18606e-18 , 
-17.297 , 0.455837 , -1.46997e-06 , -1.19562e-18 , 0.544163 , -0.544163 , -1.19562e-18 , 
-17.2935 , 0.457738 , -1.47141e-06 , -1.2052e-18 , 0.542262 , -0.542262 , -1.2052e-18 , 
-17.29 , 0.459633 , -1.47279e-06 , -1.2148e-18 , 0.540367 , -0.540367 , -1.2148e-18 , 
-17.2865 , 0.461522 , -1.47412e-06 , -1.22444e-18 , 0.538478 , -0.538478 , -1.22444e-18 , 
-17.283 , 0.463403 , -1.47538e-06 , -1.2341e-18 , 0.536597 , -0.536597 , -1.2341e-18 , 
-17.2795 , 0.465278 , -1.47659e-06 , -1.24379e-18 , 0.534722 , -0.534722 , -1.24379e-18 , 
-17.276 , 0.467147 , -1.47773e-06 , -1.2535e-18 , 0.532853 , -0.532853 , -1.2535e-18 , 
-17.2725 , 0.469009 , -1.47882e-06 , -1.26323e-18 , 0.530991 , -0.530991 , -1.26323e-18 , 
-17.269 , 0.470865 , -1.47985e-06 , -1.27299e-18 , 0.529135 , -0.529135 , -1.27299e-18 , 
-17.2655 , 0.472714 , -1.48081e-06 , -1.28277e-18 , 0.527286 , -0.527286 , -1.28277e-18 , 
-17.262 , 0.474557 , -1.48172e-06 , -1.29258e-18 , 0.525443 , -0.525443 , -1.29258e-18 , 
-17.2585 , 0.476393 , -1.48257e-06 , -1.3024e-18 , 0.523607 , -0.523607 , -1.3024e-18 , 
-17.255 , 0.478223 , -1.48335e-06 , -1.31225e-18 , 0.521777 , -0.521777 , -1.31225e-18 , 
-17.2515 , 0.480046 , -1.48408e-06 , -1.32211e-18 , 0.519954 , -0.519954 , -1.32211e-18 , 
-17.2479 , 0.481863 , -1.48474e-06 , -1.332e-18 , 0.518137 , -0.518137 , -1.332e-18 , 
-17.2444 , 0.483674 , -1.48535e-06 , -1.3419e-18 , 0.516326 , -0.516326 , -1.3419e-18 , 
-17.2409 , 0.485478 , -1.48589e-06 , -1.35182e-18 , 0.514522 , -0.514522 , -1.35182e-18 , 
-17.2374 , 0.487276 , -1.48637e-06 , -1.36176e-18 , 0.512724 , -0.512724 , -1.36176e-18 , 
-17.2339 , 0.489068 , -1.48679e-06 , -1.37171e-18 , 0.510932 , -0.510932 , -1.37171e-18 , 
-17.2304 , 0.490853 , -1.48714e-06 , -1.38168e-18 , 0.509147 , -0.509147 , -1.38168e-18 , 
-17.2269 , 0.492633 , -1.48744e-06 , -1.39167e-18 , 0.507367 , -0.507367 , -1.39167e-18 , 
-17.2234 , 0.494406 , -1.48767e-06 , -1.40166e-18 , 0.505594 , -0.505594 , -1.40166e-18 , 
