 x ,  T0 ,  T1 ,  T2 ,  Phi ,  Psi ,  delta_cdm ,  delta_b ,  v_cdm ,  v_b ,  Pi , 
-17.5 , 0.333333 , -1.68175e-05 , -8.34909e-17 , 0.666667 , -0.666667 , 1 , 1 , 5.04525e-05 , 5.04525e-05 , -8.34909e-17 , 
-17.4965 , 0.333333 , -1.68767e-05 , -8.43814e-17 , 0.666667 , -0.666667 , 1 , 1 , 5.063e-05 , 5.063e-05 , -8.43814e-17 , 
-17.493 , 0.333334 , -1.69359e-05 , -8.52744e-17 , 0.666666 , -0.666666 , 1 , 1 , 5.08077e-05 , 5.08077e-05 , -8.52744e-17 , 
-17.4895 , 0.333334 , -1.69952e-05 , -8.61722e-17 , 0.666666 , -0.666666 , 1 , 1 , 5.09857e-05 , 5.09857e-05 , -8.61722e-17 , 
-17.486 , 0.333334 , -1.70547e-05 , -8.70773e-17 , 0.666666 , -0.666666 , 1 , 1 , 5.11642e-05 , 5.11642e-05 , -8.70773e-17 , 
-17.4825 , 0.333334 , -1.71144e-05 , -8.79922e-17 , 0.666666 , -0.666666 , 1 , 1 , 5.13433e-05 , 5.13433e-05 , -8.79922e-17 , 
-17.479 , 0.333334 , -1.71744e-05 , -8.89187e-17 , 0.666666 , -0.666666 , 1 , 1 , 5.15232e-05 , 5.15232e-05 , -8.89187e-17 , 
-17.4755 , 0.333334 , -1.72346e-05 , -8.98569e-17 , 0.666666 , -0.666666 , 1 , 1 , 5.17039e-05 , 5.17039e-05 , -8.98569e-17 , 
-17.472 , 0.333334 , -1.72951e-05 , -9.08062e-17 , 0.666666 , -0.666666 , 1 , 1 , 5.18852e-05 , 5.18852e-05 , -9.08062e-17 , 
-17.4685 , 0.333335 , -1.73558e-05 , -9.17661e-17 , 0.666665 , -0.666665 , 1 , 1 , 5.20673e-05 , 5.20673e-05 , -9.17661e-17 , 
-17.465 , 0.333335 , -1.74166e-05 , -9.27361e-17 , 0.666665 , -0.666665 , 1 , 1 , 5.22499e-05 , 5.22499e-05 , -9.27361e-17 , 
-17.4615 , 0.333335 , -1.74777e-05 , -9.37158e-17 , 0.666665 , -0.666665 , 1 , 1 , 5.24332e-05 , 5.24332e-05 , -9.37158e-17 , 
-17.458 , 0.333335 , -1.7539e-05 , -9.47054e-17 , 0.666665 , -0.666665 , 1.00001 , 1.00001 , 5.26171e-05 , 5.26171e-05 , -9.47054e-17 , 
-17.4545 , 0.333335 , -1.76005e-05 , -9.5705e-17 , 0.666665 , -0.666665 , 1.00001 , 1.00001 , 5.28016e-05 , 5.28016e-05 , -9.5705e-17 , 
-17.451 , 0.333335 , -1.76622e-05 , -9.67151e-17 , 0.666665 , -0.666665 , 1.00001 , 1.00001 , 5.29867e-05 , 5.29867e-05 , -9.67151e-17 , 
-17.4475 , 0.333335 , -1.77242e-05 , -9.77358e-17 , 0.666665 , -0.666665 , 1.00001 , 1.00001 , 5.31725e-05 , 5.31725e-05 , -9.77358e-17 , 
-17.444 , 0.333336 , -1.77863e-05 , -9.87675e-17 , 0.666664 , -0.666664 , 1.00001 , 1.00001 , 5.3359e-05 , 5.3359e-05 , -9.87675e-17 , 
-17.4405 , 0.333336 , -1.78487e-05 , -9.98102e-17 , 0.666664 , -0.666664 , 1.00001 , 1.00001 , 5.35461e-05 , 5.35461e-05 , -9.98102e-17 , 
-17.437 , 0.333336 , -1.79113e-05 , -1.00864e-16 , 0.666664 , -0.666664 , 1.00001 , 1.00001 , 5.37339e-05 , 5.37339e-05 , -1.00864e-16 , 
-17.4335 , 0.333336 , -1.79741e-05 , -1.01929e-16 , 0.666664 , -0.666664 , 1.00001 , 1.00001 , 5.39223e-05 , 5.39223e-05 , -1.01929e-16 , 
-17.43 , 0.333336 , -1.80371e-05 , -1.03005e-16 , 0.666664 , -0.666664 , 1.00001 , 1.00001 , 5.41114e-05 , 5.41114e-05 , -1.03005e-16 , 
-17.4265 , 0.333336 , -1.81004e-05 , -1.04093e-16 , 0.666664 , -0.666664 , 1.00001 , 1.00001 , 5.43012e-05 , 5.43012e-05 , -1.04093e-16 , 
-17.423 , 0.333336 , -1.81639e-05 , -1.05192e-16 , 0.666664 , -0.666664 , 1.00001 , 1.00001 , 5.44916e-05 , 5.44916e-05 , -1.05192e-16 , 
-17.4195 , 0.333336 , -1.82276e-05 , -1.06302e-16 , 0.666664 , -0.666664 , 1.00001 , 1.00001 , 5.46827e-05 , 5.46827e-05 , -1.06302e-16 , 
-17.416 , 0.333337 , -1.82915e-05 , -1.07424e-16 , 0.666663 , -0.666663 , 1.00001 , 1.00001 , 5.48744e-05 , 5.48744e-05 , -1.07424e-16 , 
-17.4125 , 0.333337 , -1.83556e-05 , -1.08558e-16 , 0.666663 , -0.666663 , 1.00001 , 1.00001 , 5.50668e-05 , 5.50668e-05 , -1.08558e-16 , 
-17.409 , 0.333337 , -1.842e-05 , -1.09704e-16 , 0.666663 , -0.666663 , 1.00001 , 1.00001 , 5.52599e-05 , 5.52599e-05 , -1.09704e-16 , 
-17.4055 , 0.333337 , -1.84846e-05 , -1.10863e-16 , 0.666663 , -0.666663 , 1.00001 , 1.00001 , 5.54537e-05 , 5.54537e-05 , -1.10863e-16 , 
-17.402 , 0.333337 , -1.85494e-05 , -1.12033e-16 , 0.666663 , -0.666663 , 1.00001 , 1.00001 , 5.56482e-05 , 5.56482e-05 , -1.12033e-16 , 
-17.3985 , 0.333337 , -1.86144e-05 , -1.13216e-16 , 0.666663 , -0.666663 , 1.00001 , 1.00001 , 5.58433e-05 , 5.58433e-05 , -1.13216e-16 , 
-17.395 , 0.333337 , -1.86797e-05 , -1.14411e-16 , 0.666663 , -0.666663 , 1.00001 , 1.00001 , 5.60392e-05 , 5.60392e-05 , -1.14411e-16 , 
-17.3915 , 0.333337 , -1.87452e-05 , -1.15619e-16 , 0.666663 , -0.666663 , 1.00001 , 1.00001 , 5.62357e-05 , 5.62357e-05 , -1.15619e-16 , 
-17.388 , 0.333338 , -1.8811e-05 , -1.1684e-16 , 0.666662 , -0.666662 , 1.00001 , 1.00001 , 5.64329e-05 , 5.64329e-05 , -1.1684e-16 , 
-17.3845 , 0.333338 , -1.88769e-05 , -1.18073e-16 , 0.666662 , -0.666662 , 1.00001 , 1.00001 , 5.66308e-05 , 5.66308e-05 , -1.18073e-16 , 
-17.381 , 0.333338 , -1.89431e-05 , -1.1932e-16 , 0.666662 , -0.666662 , 1.00001 , 1.00001 , 5.68294e-05 , 5.68294e-05 , -1.1932e-16 , 
-17.3775 , 0.333338 , -1.90095e-05 , -1.20579e-16 , 0.666662 , -0.666662 , 1.00001 , 1.00001 , 5.70286e-05 , 5.70286e-05 , -1.20579e-16 , 
-17.374 , 0.333338 , -1.90762e-05 , -1.21852e-16 , 0.666662 , -0.666662 , 1.00001 , 1.00001 , 5.72286e-05 , 5.72286e-05 , -1.21852e-16 , 
-17.3705 , 0.333338 , -1.91431e-05 , -1.23139e-16 , 0.666662 , -0.666662 , 1.00001 , 1.00001 , 5.74293e-05 , 5.74293e-05 , -1.23139e-16 , 
-17.367 , 0.333338 , -1.92102e-05 , -1.24439e-16 , 0.666662 , -0.666662 , 1.00001 , 1.00001 , 5.76307e-05 , 5.76307e-05 , -1.24439e-16 , 
-17.3635 , 0.333338 , -1.92776e-05 , -1.25753e-16 , 0.666662 , -0.666662 , 1.00001 , 1.00001 , 5.78328e-05 , 5.78328e-05 , -1.25753e-16 , 
-17.36 , 0.333338 , -1.93452e-05 , -1.2708e-16 , 0.666662 , -0.666662 , 1.00002 , 1.00002 , 5.80356e-05 , 5.80356e-05 , -1.2708e-16 , 
-17.3565 , 0.333339 , -1.9413e-05 , -1.28422e-16 , 0.666661 , -0.666661 , 1.00002 , 1.00002 , 5.82391e-05 , 5.82391e-05 , -1.28422e-16 , 
-17.353 , 0.333339 , -1.94811e-05 , -1.29778e-16 , 0.666661 , -0.666661 , 1.00002 , 1.00002 , 5.84433e-05 , 5.84433e-05 , -1.29778e-16 , 
-17.3495 , 0.333339 , -1.95494e-05 , -1.31148e-16 , 0.666661 , -0.666661 , 1.00002 , 1.00002 , 5.86483e-05 , 5.86483e-05 , -1.31148e-16 , 
-17.346 , 0.333339 , -1.9618e-05 , -1.32532e-16 , 0.666661 , -0.666661 , 1.00002 , 1.00002 , 5.88539e-05 , 5.88539e-05 , -1.32532e-16 , 
-17.3425 , 0.333339 , -1.96868e-05 , -1.33931e-16 , 0.666661 , -0.666661 , 1.00002 , 1.00002 , 5.90603e-05 , 5.90603e-05 , -1.33931e-16 , 
-17.339 , 0.333339 , -1.97558e-05 , -1.35345e-16 , 0.666661 , -0.666661 , 1.00002 , 1.00002 , 5.92674e-05 , 5.92674e-05 , -1.35345e-16 , 
-17.3355 , 0.333339 , -1.98251e-05 , -1.36774e-16 , 0.666661 , -0.666661 , 1.00002 , 1.00002 , 5.94752e-05 , 5.94752e-05 , -1.36774e-16 , 
-17.332 , 0.333339 , -1.98946e-05 , -1.38218e-16 , 0.666661 , -0.666661 , 1.00002 , 1.00002 , 5.96838e-05 , 5.96838e-05 , -1.38218e-16 , 
-17.3285 , 0.333339 , -1.99644e-05 , -1.39677e-16 , 0.666661 , -0.666661 , 1.00002 , 1.00002 , 5.98931e-05 , 5.98931e-05 , -1.39677e-16 , 
-17.325 , 0.33334 , -2.00344e-05 , -1.41152e-16 , 0.66666 , -0.66666 , 1.00002 , 1.00002 , 6.01031e-05 , 6.01031e-05 , -1.41152e-16 , 
-17.3215 , 0.33334 , -2.01046e-05 , -1.42642e-16 , 0.66666 , -0.66666 , 1.00002 , 1.00002 , 6.03139e-05 , 6.03139e-05 , -1.42642e-16 , 
-17.318 , 0.33334 , -2.01751e-05 , -1.44148e-16 , 0.66666 , -0.66666 , 1.00002 , 1.00002 , 6.05254e-05 , 6.05254e-05 , -1.44148e-16 , 
-17.3145 , 0.33334 , -2.02459e-05 , -1.4567e-16 , 0.66666 , -0.66666 , 1.00002 , 1.00002 , 6.07376e-05 , 6.07376e-05 , -1.4567e-16 , 
-17.311 , 0.33334 , -2.03169e-05 , -1.47208e-16 , 0.66666 , -0.66666 , 1.00002 , 1.00002 , 6.09506e-05 , 6.09506e-05 , -1.47208e-16 , 
-17.3075 , 0.33334 , -2.03881e-05 , -1.48762e-16 , 0.66666 , -0.66666 , 1.00002 , 1.00002 , 6.11643e-05 , 6.11643e-05 , -1.48762e-16 , 
-17.304 , 0.33334 , -2.04596e-05 , -1.50332e-16 , 0.66666 , -0.66666 , 1.00002 , 1.00002 , 6.13788e-05 , 6.13788e-05 , -1.50332e-16 , 
-17.3005 , 0.33334 , -2.05313e-05 , -1.51919e-16 , 0.66666 , -0.66666 , 1.00002 , 1.00002 , 6.1594e-05 , 6.1594e-05 , -1.51919e-16 , 
-17.297 , 0.33334 , -2.06033e-05 , -1.53523e-16 , 0.66666 , -0.66666 , 1.00002 , 1.00002 , 6.181e-05 , 6.181e-05 , -1.53523e-16 , 
-17.2935 , 0.33334 , -2.06756e-05 , -1.55144e-16 , 0.66666 , -0.66666 , 1.00002 , 1.00002 , 6.20268e-05 , 6.20268e-05 , -1.55144e-16 , 
