  x  ,    Xe  ,   ne   , 
-46.0517 , 1.25242e-25 , 3.15504e+34 , 
-46.0512 , 1.25242e-25 , 3.15021e+34 , 
-46.0507 , 1.25242e-25 , 3.14539e+34 , 
-46.0502 , 1.25242e-25 , 3.14057e+34 , 
-46.0497 , 1.25242e-25 , 3.13577e+34 , 
-46.0491 , 1.25242e-25 , 3.13097e+34 , 
-46.0486 , 1.25242e-25 , 3.12618e+34 , 
-46.0481 , 1.25242e-25 , 3.12139e+34 , 
-46.0476 , 1.25242e-25 , 3.11662e+34 , 
-46.0471 , 1.25242e-25 , 3.11185e+34 , 
-46.0466 , 1.25242e-25 , 3.10708e+34 , 
-46.0461 , 1.25242e-25 , 3.10233e+34 , 
-46.0456 , 1.25242e-25 , 3.09758e+34 , 
-46.0451 , 1.25242e-25 , 3.09284e+34 , 
-46.0446 , 1.25242e-25 , 3.08811e+34 , 
-46.044 , 1.25242e-25 , 3.08338e+34 , 
-46.0435 , 1.25242e-25 , 3.07866e+34 , 
-46.043 , 1.25242e-25 , 3.07395e+34 , 
-46.0425 , 1.25242e-25 , 3.06925e+34 , 
-46.042 , 1.25242e-25 , 3.06455e+34 , 
-46.0415 , 1.25242e-25 , 3.05986e+34 , 
-46.041 , 1.25242e-25 , 3.05518e+34 , 
-46.0405 , 1.25242e-25 , 3.0505e+34 , 
-46.04 , 1.25242e-25 , 3.04583e+34 , 
-46.0394 , 1.25242e-25 , 3.04117e+34 , 
-46.0389 , 1.25242e-25 , 3.03652e+34 , 
-46.0384 , 1.25242e-25 , 3.03187e+34 , 
-46.0379 , 1.25242e-25 , 3.02723e+34 , 
-46.0374 , 1.25242e-25 , 3.0226e+34 , 
-46.0369 , 1.25242e-25 , 3.01797e+34 , 
-46.0364 , 1.25242e-25 , 3.01335e+34 , 
-46.0359 , 1.25242e-25 , 3.00874e+34 , 
-46.0354 , 1.25242e-25 , 3.00414e+34 , 
-46.0349 , 1.25242e-25 , 2.99954e+34 , 
-46.0343 , 1.25242e-25 , 2.99495e+34 , 
-46.0338 , 1.25242e-25 , 2.99036e+34 , 
-46.0333 , 1.25242e-25 , 2.98579e+34 , 
-46.0328 , 1.25242e-25 , 2.98122e+34 , 
-46.0323 , 1.25242e-25 , 2.97666e+34 , 
-46.0318 , 1.25242e-25 , 2.9721e+34 , 
-46.0313 , 1.25242e-25 , 2.96755e+34 , 
-46.0308 , 1.25242e-25 , 2.96301e+34 , 
-46.0303 , 1.25242e-25 , 2.95848e+34 , 
-46.0297 , 1.25242e-25 , 2.95395e+34 , 
-46.0292 , 1.25242e-25 , 2.94943e+34 , 
-46.0287 , 1.25242e-25 , 2.94491e+34 , 
-46.0282 , 1.25242e-25 , 2.94041e+34 , 
-46.0277 , 1.25242e-25 , 2.93591e+34 , 
-46.0272 , 1.25242e-25 , 2.93141e+34 , 
-46.0267 , 1.25242e-25 , 2.92693e+34 , 
-46.0262 , 1.25242e-25 , 2.92245e+34 , 
-46.0257 , 1.25242e-25 , 2.91798e+34 , 
-46.0252 , 1.25242e-25 , 2.91351e+34 , 
-46.0246 , 1.25242e-25 , 2.90905e+34 , 
-46.0241 , 1.25242e-25 , 2.9046e+34 , 
-46.0236 , 1.25242e-25 , 2.90015e+34 , 
-46.0231 , 1.25242e-25 , 2.89572e+34 , 
-46.0226 , 1.25242e-25 , 2.89128e+34 , 
-46.0221 , 1.25242e-25 , 2.88686e+34 , 
-46.0216 , 1.25242e-25 , 2.88244e+34 , 
-46.0211 , 1.25242e-25 , 2.87803e+34 , 
-46.0206 , 1.25242e-25 , 2.87363e+34 , 
-46.02 , 1.25242e-25 , 2.86923e+34 , 
-46.0195 , 1.25242e-25 , 2.86484e+34 , 
-46.019 , 1.25242e-25 , 2.86045e+34 , 
-46.0185 , 1.25242e-25 , 2.85608e+34 , 
-46.018 , 1.25242e-25 , 2.8517e+34 , 
-46.0175 , 1.25242e-25 , 2.84734e+34 , 
-46.017 , 1.25242e-25 , 2.84298e+34 , 
-46.0165 , 1.25242e-25 , 2.83863e+34 , 
-46.016 , 1.25242e-25 , 2.83429e+34 , 
-46.0155 , 1.25242e-25 , 2.82995e+34 , 
-46.0149 , 1.25242e-25 , 2.82562e+34 , 
-46.0144 , 1.25242e-25 , 2.82129e+34 , 
-46.0139 , 1.25242e-25 , 2.81698e+34 , 
-46.0134 , 1.25242e-25 , 2.81267e+34 , 
-46.0129 , 1.25242e-25 , 2.80836e+34 , 
-46.0124 , 1.25242e-25 , 2.80406e+34 , 
-46.0119 , 1.25242e-25 , 2.79977e+34 , 
-46.0114 , 1.25242e-25 , 2.79549e+34 , 
-46.0109 , 1.25242e-25 , 2.79121e+34 , 
-46.0103 , 1.25242e-25 , 2.78694e+34 , 
-46.0098 , 1.25242e-25 , 2.78267e+34 , 
-46.0093 , 1.25242e-25 , 2.77841e+34 , 
-46.0088 , 1.25242e-25 , 2.77416e+34 , 
-46.0083 , 1.25242e-25 , 2.76992e+34 , 
-46.0078 , 1.25242e-25 , 2.76568e+34 , 
-46.0073 , 1.25242e-25 , 2.76144e+34 , 
-46.0068 , 1.25242e-25 , 2.75722e+34 , 
-46.0063 , 1.25242e-25 , 2.753e+34 , 
-46.0058 , 1.25242e-25 , 2.74879e+34 , 
-46.0052 , 1.25242e-25 , 2.74458e+34 , 
-46.0047 , 1.25242e-25 , 2.74038e+34 , 
-46.0042 , 1.25242e-25 , 2.73618e+34 , 
-46.0037 , 1.25242e-25 , 2.732e+34 , 
