k , T_6  , T_100 , T_200 , T_500 , T_1000 , 
0.712666 , -1.9957e-07 , -1.64157e-177 , 0 , 0 , 0 , 
0.713287 , -2.00974e-07 , -1.55498e-177 , 0 , 0 , 0 , 
0.713908 , -2.02379e-07 , -1.46832e-177 , 0 , 0 , 0 , 
0.714529 , -2.03785e-07 , -1.38159e-177 , 0 , 0 , 0 , 
0.715151 , -2.05193e-07 , -1.2948e-177 , 0 , 0 , 0 , 
0.715773 , -2.06602e-07 , -1.20794e-177 , 0 , 0 , 0 , 
0.716396 , -2.08012e-07 , -1.12102e-177 , 0 , 0 , 0 , 
0.71702 , -2.09424e-07 , -1.03404e-177 , 0 , 0 , 0 , 
0.717644 , -2.10838e-07 , -9.47005e-178 , 0 , 0 , 0 , 
0.718269 , -2.12253e-07 , -8.5992e-178 , 0 , 0 , 0 , 
0.718894 , -2.13669e-07 , -7.72786e-178 , 0 , 0 , 0 , 
0.71952 , -2.15087e-07 , -6.85607e-178 , 0 , 0 , 0 , 
0.720146 , -2.16507e-07 , -5.98385e-178 , 0 , 0 , 0 , 
0.720773 , -2.17929e-07 , -5.11124e-178 , 0 , 0 , 0 , 
0.7214 , -2.19352e-07 , -4.23827e-178 , 0 , 0 , 0 , 
0.722028 , -2.20777e-07 , -3.36496e-178 , 0 , 0 , 0 , 
0.722657 , -2.22204e-07 , -2.49135e-178 , 0 , 0 , 0 , 
0.723286 , -2.23633e-07 , -1.61747e-178 , 0 , 0 , 0 , 
0.723915 , -2.25064e-07 , -7.43349e-179 , 0 , 0 , 0 , 
0.724545 , -2.26496e-07 , 1.30977e-179 , 0 , 0 , 0 , 
0.725176 , -2.27931e-07 , 1.00548e-178 , 0 , 0 , 0 , 
0.725807 , -2.29368e-07 , 1.88012e-178 , 0 , 0 , 0 , 
0.726439 , -2.30807e-07 , 2.75488e-178 , 0 , 0 , 0 , 
0.727071 , -2.32248e-07 , 3.62971e-178 , 0 , 0 , 0 , 
0.727704 , -2.33691e-07 , 4.50459e-178 , 0 , 0 , 0 , 
0.728337 , -2.35136e-07 , 5.37948e-178 , 0 , 0 , 0 , 
0.728971 , -2.36584e-07 , 6.25435e-178 , 0 , 0 , 0 , 
0.729606 , -2.38034e-07 , 7.12918e-178 , 0 , 0 , 0 , 
0.730241 , -2.39487e-07 , 8.00391e-178 , 0 , 0 , 0 , 
0.730877 , -2.40941e-07 , 8.87853e-178 , 0 , 0 , 0 , 
0.731513 , -2.42399e-07 , 9.75299e-178 , 0 , 0 , 0 , 
0.732149 , -2.43858e-07 , 1.06273e-177 , 0 , 0 , 0 , 
0.732787 , -2.45321e-07 , 1.15013e-177 , 0 , 0 , 0 , 
0.733425 , -2.46785e-07 , 1.23751e-177 , 0 , 0 , 0 , 
0.734063 , -2.48253e-07 , 1.32486e-177 , 0 , 0 , 0 , 
0.734702 , -2.49723e-07 , 1.41218e-177 , 0 , 0 , 0 , 
0.735341 , -2.51196e-07 , 1.49947e-177 , 0 , 0 , 0 , 
0.735981 , -2.52672e-07 , 1.58671e-177 , 0 , 0 , 0 , 
0.736622 , -2.5415e-07 , 1.67391e-177 , 0 , 0 , 0 , 
0.737263 , -2.55632e-07 , 1.76107e-177 , 0 , 0 , 0 , 
0.737905 , -2.57116e-07 , 1.84817e-177 , 0 , 0 , 0 , 
0.738547 , -2.58603e-07 , 1.93522e-177 , 0 , 0 , 0 , 
0.73919 , -2.60094e-07 , 2.02222e-177 , 0 , 0 , 0 , 
0.739833 , -2.61587e-07 , 2.10915e-177 , 0 , 0 , 0 , 
0.740477 , -2.63084e-07 , 2.19602e-177 , 0 , 0 , 0 , 
0.741122 , -2.64583e-07 , 2.28283e-177 , 0 , 0 , 0 , 
0.741767 , -2.66086e-07 , 2.36956e-177 , 0 , 0 , 0 , 
0.742413 , -2.67592e-07 , 2.45622e-177 , 0 , 0 , 0 , 
0.743059 , -2.69102e-07 , 2.54279e-177 , 0 , 0 , 0 , 
0.743706 , -2.70615e-07 , 2.62929e-177 , 0 , 0 , 0 , 
